f,s11,s21,ZL,ZL_a
16215000000.0,(-0.698379688818073+0.03248757676062299j),(-0+0j),(66.742398737538+8.483000109494924j),376.7303537045677
16300000000.0,(-0.695285610871367+0.028202338338135128j),(-0+0j),(67.59138264567247+7.391622890782625j),376.7303532859518
16385000000.0,(-0.6923440468281495+0.023505496048167658j),(-0+0j),(68.40099191337481+6.182568541793551j),376.7303528738339
16470000000.0,(-0.6895987647992036+0.01838376113432067j),(-0+0j),(69.15747116215456+4.851504045278161j),376.7303524680803
16555000000.0,(-0.6870984552911789+0.012827608758540703j),(-0+0j),(69.84533292958426+3.395473542322004j),376.7303520685605
16640000000.0,(-0.6848966562458153+0.006832344204738465j),(-0+0j),(70.44740920872682+1.813329245884098j),376.73035167514746
16725000000.0,(-0.6830514772880325+0.00039927373962962497j),(-0+0j),(70.94499931146434+0.1062029378101754j),376.7303512877174
16810000000.0,(-0.6816250751150792-0.006463050604248967j),(-0+0j),(71.31813717979928-1.7220009944598171j),376.7303509061497
16895000000.0,(-0.6806828332735391-0.013737559720645545j),(-0-0j),(71.54599886847959-3.6641197252098j),376.7303505303265
16980000000.0,(-0.6802922060899618-0.02139743572562358j),(-0-0j),(71.60746475802476-5.7092924333686925j),376.7303501601331
17065000000.0,(-0.6805211997670665-0.029405005313366716j),(-0-0j),(71.48184029235085-7.842615631909044j),376.73034979545776
17150000000.0,(-0.6814364848199529-0.0377108612446914j),(-0-0j),(71.14972334891789-10.044948727795742j),376.73034943619126
17235000000.0,(-0.6831011635440779-0.0462533278246683j),(-0-0j),(70.59398632096793-12.292926638936404j),376.7303490822271
17320000000.0,(-0.6855722532863682-0.0549583904502992j),(-0-0j),(69.8008184405715-14.559230069153871j),376.73034873346154
17405000000.0,(-0.6888979884729448-0.06374020113732355j),(-0-0j),(68.76075199661425-16.81314829985193j),376.73034838979333
17490000000.0,(-0.6931150872589794-0.07250224818749951j),(-0-0j),(67.46957924681908-19.021443737745468j),376.73034805112337
17575000000.0,(-0.6982461661556437-0.08113923729230807j),(-0-0j),(65.92905974844496-21.149493764703312j),376.7303477173555
17660000000.0,(-0.7042975107784635-0.08953967447245491j),(-0-0j),(64.14732453706435-23.162647939530316j),376.73034738839533
17745000000.0,(-0.7112574157751387-0.09758907274519737j),(-0-0j),(62.13890592712557-25.02770364118259j),376.7303470641512
17830000000.0,(-0.7190952866081046-0.10517363212443456j),(-0-0j),(59.924358304047345-26.714378005651614j),376.73034674453316
17915000000.0,(-0.7277616482504832-0.11218417691972717j),(-0-0j),(57.52948115773079-28.196644702989804j),376.73034642945373
18000000000.0,(-0.7371891338303034-0.11852008659389963j),(-0-0j),(54.98420299905431-29.453814065990983j),376.7303461188274
